Country,State,City,FIPS Code,Region,Number of Firms,State / Providence Area (in Square Miles),Income per Capita,Population,Number of Procedures to Start a Business,Time (in Working Days) to Start a Business,Cost (as a Percent of Income per Capita) to Start a Business,Annual Minimum Wage as a Percent of Income per Capita,Maximum Length of Probationary Period (in Calendar Months),"Average Paid Annual Leave for 1, 5 and 10 Years of Tenure (in Working Days)","Average Notice Period for 1, 5 and 10 Years of Tenure","Average Severance Pay for a 1, 5 and 10 Years of Tenure (in Weeks)",Length of Paid Maternity Leave (in Weeks),Length of Unpaid Maternity Leave (in Weeks),Number of Paid Sick Leave Days (in Working Days),Number of Unpaid Sick Leave Days (in Working Days),Price per Kilowatt-Hour,Number of Providers,Average Outage - SAIDI - Without MED,Average Outage - SAIFI - Without MED,Corporate Income Effective Tax Rate,Personal Income Effective Tax Rate,State Corporate Income Highest Tax Rate,State Corporate Income Lowest Tax Rate,City Corporate Income Highest Tax Rate,City Corporate Income Lowest Tax Rate,State Personal Income Highest Tax Rate,State Personal Income Lowest Tax Rate,City Personal Income Highest Tax Rate,City Personal Income Lowest Tax Rate,Gross Receipts Tax Rate,Commercial Property Effective Tax Rate,Number of Procedures to Transfer Title on Immovable Property,Cost (as a Percent of Income per Capita) to Transfer Title on Immovable Property,Quality of Land Administration Index,Parking Minimum Size (Square Feet per Required Parking Spot),Number of Approvals Needed (Rezoning),Number of Approvals Needed (Zoning)
United States,Oklahoma,Oklahoma City,36420,West South Central,24196,69899,28365,649021,5,3,0.01,0.53,3,0,0,0,0,12,0,0,0.07,31,109.84,1.09,0.27,0.27,0.06,0.06,0,0,0.05,0.01,0,0,0,0.01,4,0,6,200,3,3
United States,Oklahoma,Tulsa,46140,West South Central,16074,69899,29764,400669,5,3,0.01,0.51,3,0,0,0,0,0,0,0,0.07,31,109.84,1.09,0.27,0.27,0.06,0.06,0,0,0.05,0.01,0,0,0,0.01,4,0,5,400,2,2
United States,Oregon,Portland,38900,Pacific,48112,98466,36492,653115,5,2,0,0.64,3,0,0,0,0,24,5,0,0.09,20,81.86,0.76,0.31,0.31,0.08,0.07,0.02,0.02,0.1,0.05,0,0,0.06,0.02,5,0,5,200,2,2
United States,Pennsylvania,Philadelphia,37980,Mid-Atlantic,99793,46055,24811,1584138,5,10,0.01,0.61,3,0,0,0,0,12,5,0,0.09,12,92.8,0.8,0.35,0.29,0.1,0.1,0.04,0.04,0.03,0.03,0.04,0.04,0,0.02,7,0.01,7,1000,4,4
United States,Pennsylvania,Pittsburgh,38300,Mid-Atlantic,37627,46055,30397,301048,5,10,0.01,0.5,3,0,0,0,6,12,3,0,0.09,13,92.8,0.8,0.31,0.28,0.1,0.1,0,0,0.03,0.03,0.03,0.03,0.01,0.02,6,0.01,7,500,3,3
United States,Rhode Island,Providence,39300,New England,29086,1212,24051,179335,5,1,0.01,0.91,3,0,0,0,4,13,5,0,0.16,1,65.11,1,0.28,0.26,0.07,0.07,0,0,0.06,0.04,0,0,0,0.02,4,0,6,500,4,4
United States,South Carolina,Charleston,16700,South Atlantic,12043,32020,35587,136208,5,2,0.01,0.42,3,0,0,0,0,0,0,0,0.12,30,99.48,1.13,0.26,0.29,0.05,0.05,0,0,0.07,0.03,0,0,0,0.02,4,0,5,400,2,2
United States,South Dakota,Sioux Falls,43620,West North Central,5019,77184,31161,181883,5,1,0.01,0.61,3,0,0,0,0,0,0,0,0.09,19,80.55,1.09,0.21,0.22,0,0,0,0,0,0,0,0,0,0.01,5,0,5,300,2,2
United States,Tennessee,Memphis,32820,East South Central,14082,42180,24243,650618,5,1,0.01,0.62,3,0,0,0,0,0,0,0,0.11,51,204.07,7.85,0.28,0.25,0.07,0.07,0,0,0.03,0.03,0,0,0,0.03,4,0,6,200,2,2
United States,Tennessee,Nashville,34980,East South Central,26021,42180,31109,669053,5,1,0.01,0.48,3,0,0,0,0,0,0,0,0.11,51,204.07,7.85,0.28,0.25,0.07,0.07,0,0,0.03,0.03,0,0,0,0.02,4,0,6,250,3,3
